pet_id,data,idade_anos,peso_kg,atividade_diaria_pct,sono_diario_pct,consumo_agua_ml,status
1000,2026-08-26,9.9,7.53,68.2,87.9,658.0,1
1093,2026-08-22,2.3,9.02,66.5,33.4,348.0,1
1015,2026-09-03,13.4,6.84,78.3,84.4,591.0,1
1072,2026-08-22,7.8,8.23,75.8,62.8,891.0,0
1061,2026-08-15,7.0,7.08,66.1,84.0,686.0,1
1021,2026-08-28,9.0,7.83,39.9,54.1,384.0,1
1083,2026-09-02,9.6,8.17,91.4,52.0,405.0,0
1087,2026-08-29,1.5,6.68,68.3,41.8,452.0,0
1075,2026-08-28,10.4,5.69,71.6,71.6,800.0,0
1075,2026-08-30,4.0,7.03,100.0,67.7,775.0,0
1088,2026-08-21,10.9,8.14,88.2,43.2,100.0,2
1024,2026-08-17,12.4,7.17,78.9,27.5,584.0,0
1003,2026-08-20,12.2,6.03,70.0,66.2,630.0,0
1022,2026-09-02,8.5,6.88,69.8,67.9,408.0,0
1053,2026-08-25,8.0,6.79,74.8,45.2,522.0,0
1002,2026-08-23,2.6,7.08,78.1,42.2,866.0,0
1088,2026-08-22,11.7,7.09,100.0,69.8,682.0,0
1030,2026-08-27,4.4,7.08,100.0,87.8,500.0,1
1038,2026-08-24,7.7,6.06,75.8,52.6,563.0,0
1002,2026-08-24,4.6,7.19,26.9,46.8,554.0,1
1064,2026-09-01,2.4,6.42,51.0,64.5,656.0,0
1060,2026-08-29,9.6,6.17,100.0,69.5,314.0,1
1021,2026-08-29,1.3,7.99,84.4,54.5,466.0,0
1033,2026-08-29,11.4,7.93,78.5,90.4,807.0,2
1076,2026-08-26,5.1,6.95,66.7,73.5,585.0,0
1058,2026-08-28,0.5,7.77,46.2,54.3,430.0,0
1022,2026-09-03,7.9,7.42,100.0,36.1,438.0,0
1089,2026-08-26,1.2,7.33,53.5,79.8,744.0,0
1049,2026-08-17,4.5,6.13,84.6,77.9,496.0,0
1091,2026-08-23,10.8,9.21,44.0,55.5,702.0,1
1059,2026-08-27,1.4,6.46,65.7,65.3,475.0,0
1042,2026-08-27,12.7,6.9,89.9,57.7,374.0,1
1092,2026-08-17,0.6,5.88,65.0,67.8,649.0,0
1060,2026-08-31,4.1,6.67,62.6,44.6,581.0,0
1080,2026-08-15,11.2,5.64,70.2,42.5,737.0,0
1015,2026-09-05,5.1,5.98,43.3,72.2,777.0,1
1062,2026-08-20,2.0,6.69,39.5,74.1,528.0,1
1062,2026-08-21,5.7,7.37,84.3,52.6,670.0,0
